occurrence_no,record_type,reid_no,flags,collection_no,identified_name,identified_rank,identified_no,difference,accepted_name,accepted_attr,accepted_rank,accepted_no,early_interval,late_interval,max_ma,min_ma,reference_no,lng,lat
536429,occ,,I,55492,Gigandipus milfordensis,species,68465,subjective synonym of,Grallator tuberosus,,species,67394,Norian,,228,208.5,12444,-75.095001,40.568611
536430,occ,,I,55493,Atreipus milfordensis,species,68466,subjective synonym of,Grallator tuberosus,,species,67394,Norian,,228,208.5,14907,-79.668999,36.540901
536599,occ,,,55526,Dinosauria ? indet.,unranked clade,52775,,Dinosauria,,unranked clade,52775,Carnian,,237,228,14991,-79.281944,35.56028
538678,occ,39642,,56018,n. gen. Kholumolumo n. sp. ellenbergerorum,species,423012,,Kholumolumo ellenbergerorum,,species,423012,Norian,Rhaetian,228,201.3,72974,27.516701,-30.2167
538681,occ,20931,IF,56020,n. gen. Deuterotrisauropus n. sp. socialis,species,133336,recombined as,Grallator socialis,,species,133336,Norian,Rhaetian,228,201.3,28154,27.516701,-30.2167
538683,occ,20932,IF,56020,Trisauropodiscus n. sp. aviforma,species,133339,,Trisauropodiscus aviforma,,species,133339,Norian,Rhaetian,228,201.3,28154,27.516701,-30.2167
538697,occ,,I,56029,cf. Otozoum sp.,genus,64089,,Otozoum,,genus,64089,Carnian,Norian,237,208.5,15109,27.433331,-29.366671
538698,occ,,,56029,Theropoda indet.,unranked clade,91970,,Theropoda,,unranked clade,38513,Carnian,Norian,237,208.5,15109,27.433331,-29.366671
538699,occ,22146,IF,56030,n. gen. Pseudotetrasauropus n. sp. bipedoida,species,133313,,Pseudotetrasauropus bipedoida,,species,133313,Carnian,Norian,237,208.5,28154,29.033331,-29.15
538738,occ,,,56047,aff. Thyreophora indet.,unranked clade,52777,,Thyreophora,,unranked clade,52777,Alaunian,,215.56,212,15111,6.211,49.811001
539206,occ,,,56156,n. gen. Lessemsaurus n. sp. sauropoides,species,68588,,Lessemsaurus sauropoides,,species,68588,Norian,,228,208.5,15138,-66.083298,-30.4167
539478,occ,,,56188,Saturnalia tupiniquim,species,68124,,Saturnalia tupiniquim,,species,68124,Carnian,Norian,237,208.5,15151,-53.774166,-29.697779
544692,occ,34683,I,57011,Agialopous sp.,genus,54518,subjective synonym of,Grallator,,genus,64079,Norian,Rhaetian,228,201.3,15378,-109.417221,40.578056
545075,occ,,,57059,n. gen. Walkeria n. sp. maleriensis,species,65488,recombined as,Alwalkeria maleriensis,,species,65488,Carnian,,237,228,13245,79.633301,19.0667
545089,occ,,IF,57063,Pseudotetrasauropus sp.,genus,77385,,Pseudotetrasauropus,,genus,77385,Rhaetian,,208.5,201.3,15414,-111.129166,37.996666
545090,occ,,I,57063,Grallator sp.,genus,64079,,Grallator,,genus,64079,Rhaetian,,208.5,201.3,15414,-111.129166,37.996666
545094,occ,,IF,57064,Pseudotetrasauropus sp.,genus,77385,,Pseudotetrasauropus,,genus,77385,Rhaetian,,208.5,201.3,15414,-111.129166,37.996666
545095,occ,,I,57064,Grallator sp.,genus,64079,,Grallator,,genus,64079,Rhaetian,,208.5,201.3,15414,-111.129166,37.996666
545100,occ,,I,57065,Grallator sp.,genus,64079,,Grallator,,genus,64079,Rhaetian,Hettangian,208.5,199.3,15414,-112.12278,37.205002
545102,occ,,I,57066,Grallator sp.,genus,64079,,Grallator,,genus,64079,Rhaetian,Hettangian,208.5,199.3,15414,-111.309723,37.857777
557169,occ,37912,,57684,Saurischia indet.,unranked clade,91969,,Saurischia,,unranked clade,38505,Norian,,228,208.5,75605,-109.82222,34.830555
557176,occ,37904,,57685,Theropoda indet.,unranked clade,91970,,Theropoda,,unranked clade,38513,Norian,,228,208.5,75613,-109.834099,35.110901
557177,occ,,,57685,Coelophysis sp.,genus,38520,,Coelophysis,,genus,38520,Norian,,228,208.5,15512,-109.834099,35.110901
557183,occ,37913,,57686,Neotheropoda indet.,unranked clade,56397,,Neotheropoda,,unranked clade,56397,Norian,,228,208.5,75605,-109.807503,35.125
557184,occ,38973,,57687,Coelophysidae indet.,family,55478,,Coelophysidae,,family,55478,Norian,,228,208.5,78440,-109.807503,35.125
558127,occ,,I,57917,Atreipus ? sp.,genus,68367,,Atreipus,,genus,68367,Norian,,228,208.5,15573,-73.909164,41.140568
558128,occ,,I,57917,Grallator sp.,genus,64079,,Grallator,,genus,64079,Norian,,228,208.5,63167,-73.909164,41.140568
558361,occ,19013,I,57949,Grallator sp.,genus,64079,,Grallator,,genus,64079,Norian,,228,208.5,78434,-3.250398,51.393559
558362,occ,,I,57949,Gigandipus sp.,genus,96914,subjective synonym of,Eubrontes,,genus,66094,Norian,,228,208.5,15587,-3.250398,51.393559
558365,occ,,IF,57952,Brontozoum n. sp. thomasi,species,85795,recombined as,Anchisauripus thomasi,,species,85795,Late Triassic,,237,201.3,24478,-3.72243,51.497223
558388,occ,15693,,57958,Camelotia sp.,genus,38647,,Camelotia,,genus,38647,Rhaetian,,208.5,201.3,16509,-2.629478,51.60265
558389,occ,19706,,57958,Theropoda indet.,unranked clade,38513,,Theropoda,,unranked clade,38513,Rhaetian,,208.5,201.3,14199,-2.629478,51.60265
558437,occ,,,57975,Thecodontosaurus antiquus ?,species,56627,,Thecodontosaurus antiquus,,species,56627,Rhaetian,,208.5,201.3,15587,-2.489664,51.598282
559094,occ,,,58106,Coelophysis sp.,genus,38520,,Coelophysis,,genus,38520,Norian,,228,208.5,15654,-106.473099,36.331699
559614,occ,,,53829,Saurischia indet.,unranked clade,38505,,Saurischia,,unranked clade,38505,Rhaetian,,208.5,201.3,16509,-0.810833,53.034721
559615,occ,,,58155,Zanclodon n. sp. cambrensis,species,65109,nomen dubium,Theropoda,,unranked clade,38513,Rhaetian,,208.5,201.3,29866,-3.5771,51.5065
561802,occ,,,58569,Riojasaurus incertus,species,56585,,Riojasaurus incertus,,species,56585,Norian,,228,208.5,16624,-68.112999,-30
562018,occ,34651,I,58623,cf. Eubrontes sp.,genus,66094,,Eubrontes,,genus,66094,Norian,,228,208.5,65481,3.96667,44.083328
562019,occ,,,58623,Sauropoda ? indet.,unranked clade,38653,,Sauropoda,,unranked clade,38653,Norian,,228,208.5,16648,3.96667,44.083328
562020,occ,34652,I,58624,cf. Eubrontes sp.,genus,66094,,Eubrontes,,genus,66094,Norian,,228,208.5,65481,3.96667,44.083328
562021,occ,,,58624,Sauropoda ? indet.,unranked clade,38653,,Sauropoda,,unranked clade,38653,Norian,,228,208.5,16648,3.96667,44.083328
562022,occ,,,58625,Dinosauria indet.,unranked clade,52775,,Dinosauria,,unranked clade,52775,Rhaetian,,208.5,201.3,16648,5.8,43.116699
562836,occ,,,13273,n. gen. Protoavis n. sp. texensis,species,192929,,Protoavis texensis,,species,192929,Norian,,228,208.5,36775,-101.315002,33.521389
566224,occ,,,59290,Prosauropoda indet.,unranked clade,38634,,Prosauropoda,,unranked clade,38634,Norian,,228,208.5,16981,3.441667,43.966667
566225,occ,19674,,59291,Melanorosaurus n. sp. thabanensis,species,56589,recombined as,Meroktenos thabanensis,,species,56589,Norian,Rhaetian,228,201.3,16646,27.4,-29.9333
566781,occ,36180,IF,59340,Grallator variabilis,species,96249,,Grallator variabilis,,species,96249,Rhaetian,Hettangian,208.5,199.3,70772,-0.455278,32.748333
567906,occ,,,36377,Theropoda ? indet.,unranked clade,38513,,Theropoda,,unranked clade,38513,Alaunian,,215.56,212,17072,9.717,45.682999
567907,occ,,,59639,Theropoda ? indet.,unranked clade,38513,,Theropoda,,unranked clade,38513,Alaunian,,215.56,212,17072,9.817,45.783001
568126,occ,24749,,59669,Dinosauria indet.,unranked clade,91968,,Dinosauria,,unranked clade,52775,Ladinian,,242,237,35582,-68.417778,-29.611668
568152,occ,,IF,59670,Tetrasauropus sp.,genus,77113,,Tetrasauropus,,genus,77113,Middle Triassic,,247.2,237,17074,-68.890282,-32.450832
572563,occ,,,22705,Dinosauria indet.,unranked clade,52775,,Dinosauria,,unranked clade,52775,Norian,,228,208.5,17273,-109.358612,34.513889
572564,occ,,,22705,Theropoda indet.,unranked clade,38513,,Theropoda,,unranked clade,38513,Norian,,228,208.5,17273,-109.358612,34.513889
572565,occ,,,22705,Ornithischia ? indet.,unranked clade,38712,,Ornithischia,,unranked clade,38712,Norian,,228,208.5,17273,-109.358612,34.513889
572594,occ,,,55248,Prosauropoda ? indet.,unranked clade,38634,,Prosauropoda,,unranked clade,38634,Norian,,228,208.5,17273,-108.487221,35.424168
572597,occ,,,55248,Ornithischia ? indet.,unranked clade,38712,,Ornithischia,,unranked clade,38712,Norian,,228,208.5,17273,-108.487221,35.424168
572672,occ,,,48424,Prosauropoda ? indet.,unranked clade,38634,,Prosauropoda,,unranked clade,38634,Norian,,228,208.5,17273,-101.168892,33.449165
575515,occ,31544,IF,60501,n. gen. Pengxianpus n. sp. cifengensis,species,348384,,Pengxianpus cifengensis,,species,348384,Rhaetian,,208.5,201.3,16852,104.43528,30.856112
586581,occ,,I,61845,Grallator sp.,genus,64079,,Grallator,,genus,64079,Norian,Rhaetian,228,201.3,17860,-109.928329,38.435555
587325,occ,,,46077,cf. Thecodontosaurus sp.,genus,53022,,Thecodontosaurus,,genus,53022,Rhaetian,,208.5,201.3,17881,-3.472222,51.508057
589288,occ,,I,62182,Coelurosaurichnus n. sp. perriauxi,species,82507,,Coelurosaurichnus perriauxi,,species,82507,Anisian,Ladinian,247.2,237,17956,4.432778,46.841946
589290,occ,,IF,62183,Anchisauripus bibractensis,species,92019,,Anchisauripus bibractensis,,species,92019,Anisian,Ladinian,247.2,237,17967,4.432778,46.841946
589368,occ,,IF,28092,Anchisauripus bibractensis,species,92019,,Anchisauripus bibractensis,,species,92019,Middle Triassic,,247.2,237,17970,4.47658,46.607204
589404,occ,,,62206,Prosauropoda ? indet.,unranked clade,38634,,Prosauropoda,,unranked clade,38634,Norian,,228,208.5,17974,-109.763611,34.942501
589914,occ,20951,I,62286,Eubrontes sp.,genus,66094,,Eubrontes,,genus,66094,Norian,,228,208.5,27985,-109.764168,34.942501
589915,occ,20952,I,62286,cf. Grallator sp.,genus,64079,,Grallator,,genus,64079,Norian,,228,208.5,27985,-109.764168,34.942501
590148,occ,22855,,62311,cf. Coelophysis sp.,genus,38520,,Coelophysis,,genus,38520,Lacian,Sevatian,221.5,205.6,24249,-106.473053,36.331669
590149,occ,22856,,62311,Coelophysoidea indet.,superfamily,55476,,Coelophysoidea,,superfamily,55476,Lacian,Sevatian,221.5,205.6,24249,-106.473053,36.331669
590157,occ,,,62312,Theropoda indet.,unranked clade,38513,,Theropoda,,unranked clade,38513,Lacian,Sevatian,221.5,205.6,18008,-106.473053,36.331669
590159,occ,,,62313,Theropoda indet.,unranked clade,38513,,Theropoda,,unranked clade,38513,Lacian,Sevatian,221.5,205.6,18008,-106.473053,36.331669
590160,occ,,I,52168,aff. Grallator sp.,genus,64079,,Grallator,,genus,64079,Norian,,228,208.5,18009,-103.639397,34.976601
592705,occ,,I,62766,Atreipus milfordensis,species,68466,subjective synonym of,Grallator tuberosus,,species,67394,Rhaetian,,208.5,201.3,18106,-75.803612,40.286667
592708,occ,,I,62766,Grallator sp.,genus,64079,,Grallator,,genus,64079,Rhaetian,,208.5,201.3,28162,-75.803612,40.286667
593060,occ,,I,55418,Grallator sp.,genus,64079,,Grallator,,genus,64079,Norian,,228,208.5,62822,-74.190002,40.752777
593069,occ,,I,62841,Atreipus milfordensis,species,68466,subjective synonym of,Grallator tuberosus,,species,67394,Norian,,228,208.5,18115,-75.155281,40.61972
593071,occ,,I,62841,cf. Coelurosaurichnus sp.,genus,68186,,Coelurosaurichnus,,genus,68186,Norian,,228,208.5,18115,-75.155281,40.61972
593072,occ,,I,62841,Grallator sp.,genus,64079,,Grallator,,genus,64079,Norian,,228,208.5,18115,-75.155281,40.61972
593111,occ,,IF,62768,Eubrontes giganteus,species,66095,,Eubrontes giganteus,,species,67402,Rhaetian,,208.5,201.3,18115,-75.862228,40.273548
604143,occ,,,64316,Plateosaurus sp.,genus,38644,,Plateosaurus,,genus,38644,Rhaetian,,208.5,201.3,18552,2.171667,61.512501
604469,occ,,,64397,Dinosauria indet.,unranked clade,52775,,Dinosauria,,unranked clade,52775,Late Triassic,Early Jurassic,237,174.1,14536,29.139444,-28.27389
627731,occ,,,67699,Coelophysis sp.,genus,38520,,Coelophysis,,genus,38520,Norian,,228,208.5,19338,-101.352081,33.012535
627732,occ,38998,,13273,Neotheropoda indet.,unranked clade,56397,,Neotheropoda,,unranked clade,56397,Norian,,228,208.5,78487,-101.315002,33.521389
632299,occ,,,47800,Sellosaurus n. sp. fraasi,species,57411,subjective synonym of,Efraasia minor,,species,54997,Alaunian,,215.56,212,10510,8.9764,49.0644
632300,occ,,,47800,Teratosaurus n. sp. minor,species,54997,recombined as,Efraasia minor,,species,54997,Alaunian,,215.56,212,19481,8.9764,49.0644
632301,occ,,,47800,Efraasia minor,species,91403,,Efraasia minor,,species,54997,Alaunian,,215.56,212,19481,8.9764,49.0644
632302,occ,18794,,47785,n. gen. Sellosaurus n. sp. gracilis,species,54996,recombined as,Plateosaurus gracilis,,species,54996,Norian,,228,208.5,16920,9.142778,48.760555
632303,occ,,,68038,Plateosaurus gracilis,species,56596,,Plateosaurus gracilis,,species,54996,Norian,,228,208.5,19481,8.682539,48.102707
632304,occ,,,47785,Thecodontosaurus n. sp. hermannianus,species,64685,subjective synonym of,Plateosaurus gracilis,,species,54996,Norian,,228,208.5,16920,9.142778,48.760555
633918,occ,,IF,68222,Anchisauripus bibractensis,species,92019,,Anchisauripus bibractensis,,species,92019,Anisian,Ladinian,247.2,237,19626,4.432778,46.841946
633921,occ,,IF,62182,Anchisauripus bibractensis,species,92019,,Anchisauripus bibractensis,,species,92019,Anisian,Ladinian,247.2,237,19626,4.432778,46.841946
633922,occ,,I,55316,Grallator sp.,genus,64079,,Grallator,,genus,64079,Carnian,,237,228,19626,4.15,44.450001
633923,occ,,I,68224,Grallator sp.,genus,64079,,Grallator,,genus,64079,Carnian,,237,228,19626,4.15,44.450001
633924,occ,,I,68225,Coelurosaurichnus grancieri,species,68203,,Coelurosaurichnus grancieri,,species,68203,Carnian,,237,228,19626,4.15,44.450001
633926,occ,,IF,68226,Anchisauripus bibractensis,species,92019,,Anchisauripus bibractensis,,species,92019,Anisian,Ladinian,247.2,237,19626,4.651667,46.653332
633927,occ,,IF,68226,cf. Anchisauripus sp.,genus,64083,,Anchisauripus,,genus,64083,Anisian,Ladinian,247.2,237,19626,4.651667,46.653332
638656,occ,,IF,68705,Grallator cuneatus,species,67370,subjective synonym of,Grallator tenuis,,species,67368,Norian,Rhaetian,228,201.3,19814,-75.460152,40.247086
638657,occ,,I,68705,Otouphebus n. sp. poolei,species,93702,"misspelling of, recombined as",Anchisauripus poolei,,species,85749,Norian,Rhaetian,228,201.3,19814,-75.460152,40.247086
638663,occ,,I,68706,Anchisauripus n. sp. gwyneddensis,species,85753,,Anchisauripus gwyneddensis,,species,85753,Norian,,228,208.5,19814,-75.26889,40.198696
638664,occ,,IF,68706,Platypterna n. sp. lockatong,species,93705,,Platypterna lockatong,,species,93705,Norian,,228,208.5,19814,-75.26889,40.198696
639037,occ,,IF,68779,n. gen. Coelurosaurichnus n. sp. toscanus,species,77045,,Coelurosaurichnus toscanus,,species,77045,Carnian,,237,228,46342,10.490556,43.742779
639038,occ,,I,68780,Grallator sp.,genus,64079,,Grallator,,genus,64079,Carnian,,237,228,19851,9.882214,44.081387
639039,occ,,I,68780,Anomoepus sp.,genus,67049,,Anomoepus,,genus,67049,Carnian,,237,228,19851,9.882214,44.081387
639429,occ,19694,,68833,Theropoda indet.,unranked clade,38513,,Theropoda,,unranked clade,38513,Tuvalian,Lacian,232,215.56,14199,12.105572,46.421043
639430,occ,30833,,68833,Prosauropoda ? indet.,unranked clade,162292,,Prosauropoda,,unranked clade,38634,Tuvalian,Lacian,232,215.56,54299,12.105572,46.421043
639431,occ,30834,,68833,Ornithopoda ? indet.,unranked clade,147918,,Ornithopoda,,unranked clade,38713,Tuvalian,Lacian,232,215.56,54299,12.105572,46.421043
639662,occ,19696,,68883,Theropoda indet.,unranked clade,38513,,Theropoda,,unranked clade,38513,Tuvalian,,232,221.5,14199,12.309936,46.566063
639663,occ,19104,,68884,Theropoda indet.,unranked clade,38513,,Theropoda,,unranked clade,38513,Norian,,228,208.5,23520,11.75154,46.564125
639664,occ,,,68885,Prosauropoda indet.,unranked clade,38634,,Prosauropoda,,unranked clade,38634,Carnian,Norian,237,208.5,19851,12.01852,46.50552
639674,occ,,IF,68889,Kayentapus minor,species,94348,,Kayentapus minor,,species,67431,Lacian,Alaunian,221.5,212,81036,-77.915054,38.439735
639680,occ,39548,I,68890,Grallator cf. tuberosus,species,131245,,Grallator tuberosus,,species,67394,Lacian,Alaunian,221.5,212,81036,-77.915054,38.439735
639681,occ,39549,IF,68890,Grallator cf. sillimani,species,94350,recombined as,Eubrontes sillimani,,species,67392,Lacian,Alaunian,221.5,212,81036,-77.915054,38.439735
639682,occ,18971,IF,68890,Kayentapus minor,species,94348,,Kayentapus minor,,species,67431,Lacian,Alaunian,221.5,212,19883,-77.915054,38.439735
639683,occ,,I,68890,Grallator ? sp.,genus,64079,,Grallator,,genus,64079,Lacian,Alaunian,221.5,212,19884,-77.915054,38.439735
639684,occ,,I,68890,n. gen. Gregaripus n. sp. bairdi,species,94346,,Gregaripus bairdi,,species,94346,Lacian,Alaunian,221.5,212,19884,-77.915054,38.439735
639809,occ,,I,68906,Coelurosaurichnus perriauxi,species,82507,,Coelurosaurichnus perriauxi,,species,82507,Anisian,Ladinian,247.2,237,19896,4.397335,46.871639
639810,occ,,IF,68906,Anchisauripus bibractensis,species,92019,,Anchisauripus bibractensis,,species,92019,Anisian,Ladinian,247.2,237,19896,4.397335,46.871639
643849,occ,,,69523,Theropoda indet.,unranked clade,38513,,Theropoda,,unranked clade,38513,Norian,,228,208.5,78488,12.48,46.330002
643850,occ,,,55367,Prosauropoda indet.,unranked clade,38634,,Prosauropoda,,unranked clade,38634,Norian,,228,208.5,23343,12.601133,46.307098
643851,occ,,,69524,Theropoda indet.,unranked clade,38513,,Theropoda,,unranked clade,38513,Norian,,228,208.5,23343,12.621129,46.210579
643853,occ,,,69525,Theropoda indet.,unranked clade,38513,,Theropoda,,unranked clade,38513,Norian,,228,208.5,23419,12.608914,46.271412
643854,occ,,,69526,Prosauropoda indet.,unranked clade,38634,,Prosauropoda,,unranked clade,38634,Norian,,228,208.5,23343,12.601133,46.307098
644887,occ,26378,IF,57949,Eosauropus sp.,genus,131584,,Eosauropus,,genus,131584,Norian,,228,208.5,39735,-3.250398,51.393559
644888,occ,38966,IF,57949,Pseudotetrasauropus sp.,genus,77385,,Pseudotetrasauropus,,genus,77385,Norian,,228,208.5,23358,-3.250398,51.393559
644889,occ,38807,IF,69623,Tetrasauropus sp.,genus,77113,,Tetrasauropus,,genus,77113,Norian,,228,208.5,23358,10.157794,46.6343
644890,occ,34650,I,69623,Eubrontes sp.,genus,66094,,Eubrontes,,genus,66094,Norian,,228,208.5,65481,10.157794,46.6343
646251,occ,,,69797,Dinosauria indet.,unranked clade,52775,,Dinosauria,,unranked clade,52775,Late Triassic,,237,201.3,23419,12.05,46.383331
651203,occ,28240,,70425,Prosauropoda indet.,unranked clade,38634,,Prosauropoda,,unranked clade,38634,Norian,,228,208.5,45554,5.43333,45.950001
655625,occ,,I,24798,Grallator olonensis,species,96248,,Grallator olonensis,,species,96248,Rhaetian,,208.5,201.3,23532,-1.6702,46.437599
655626,occ,,I,24798,Grallator n. sp. maximus,species,96250,,Grallator maximus,,species,96250,Rhaetian,,208.5,201.3,23532,-1.6702,46.437599
655627,occ,,I,24798,n. gen. Saltopoides n. sp. igalensis,species,96253,,Saltopoides igalensis,,species,96253,Rhaetian,,208.5,201.3,23532,-1.6702,46.437599
655629,occ,36248,I,70801,Grallator n. sp. olonensis,species,96248,,Grallator olonensis,,species,96248,Rhaetian,,208.5,201.3,23532,-1.6644,46.4347
655630,occ,,I,70803,Grallator maximus,species,96250,,Grallator maximus,,species,96250,Rhaetian,,208.5,201.3,23532,-1.6705,46.437
655631,occ,,IF,70804,Grallator variabilis,species,96249,,Grallator variabilis,,species,96249,Rhaetian,,208.5,201.3,23532,-1.6647,46.434101
666648,occ,,,39160,Theropoda indet.,unranked clade,38513,,Theropoda,,unranked clade,38513,Norian,,228,208.5,24249,-109.462486,34.43742
683554,occ,,,34132,Saurischia ? indet.,unranked clade,38505,,Saurischia,,unranked clade,38505,Norian,,228,208.5,24702,-68.066666,-29.85
690303,occ,37908,,74202,Theropoda indet.,unranked clade,91970,,Theropoda,,unranked clade,38513,Norian,,228,208.5,75613,-106.47506,36.323849
690304,occ,,,74202,Coelophysoidea indet.,superfamily,55476,,Coelophysoidea,,superfamily,55476,Norian,,228,208.5,24915,-106.47506,36.323849
699867,occ,,,75181,Massospondylus sp.,genus,38642,,Massospondylus,,genus,38642,Norian,Sinemurian,228,190.8,25375,27.533333,-30.533333
699888,occ,,,75188,cf. Euskelosaurus sp.,genus,38640,nomen dubium,Sauropodomorpha,,unranked clade,38633,Norian,Rhaetian,228,201.3,25375,27.1,-31.133333
699889,occ,,,75189,cf. Euskelosaurus sp.,genus,38640,nomen dubium,Sauropodomorpha,,unranked clade,38633,Norian,Rhaetian,228,201.3,25375,27.116667,-31.116667
699890,occ,,,75190,cf. Euskelosaurus sp.,genus,38640,nomen dubium,Sauropodomorpha,,unranked clade,38633,Norian,Rhaetian,228,201.3,25375,27.133333,-31.1
699892,occ,,,75192,Prosauropoda indet.,unranked clade,38634,,Prosauropoda,,unranked clade,38634,Norian,Rhaetian,228,201.3,25375,27.433332,-30.566668
705707,occ,,,47800,Sellosaurus gracilis,species,54996,recombined as,Plateosaurus gracilis,,species,54996,Alaunian,,215.56,212,25583,8.9764,49.0644
705953,occ,,,75758,Theropoda indet.,unranked clade,38513,,Theropoda,,unranked clade,38513,Norian,,228,208.5,33788,10.978889,49.063057
705954,occ,32304,,75758,Plateosaurus engelhardti,species,56683,,Plateosaurus engelhardti,,species,56683,Norian,,228,208.5,33788,10.978889,49.063057
709243,occ,,,22682,Pachysaurus n. sp. wetzelianus,species,65097,nomen dubium,Prosauropoda,,unranked clade,38634,Rhaetian,,208.5,201.3,29483,8.65,48.066669
712660,occ,20121,,46889,Theropoda indet.,unranked clade,38513,,Theropoda,,unranked clade,38513,Rhaetian,,208.5,201.3,14199,-2.428889,51.622501
712661,occ,35967,,46889,Thecodontosaurus antiquus,species,56627,,Thecodontosaurus antiquus,,species,56627,Rhaetian,,208.5,201.3,70247,-2.428889,51.622501
728255,occ,,,78294,Dinosauria indet.,unranked clade,52775,,Dinosauria,,unranked clade,52775,Norian,,228,208.5,59149,9.199,48.811001
728363,occ,,,47800,Halticosaurus n. sp. longotarsus,species,56377,nomen dubium,Theropoda,,unranked clade,38513,Alaunian,,215.56,212,26360,8.9764,49.0644
728364,occ,,,47800,n. gen. Procompsognathus n. sp. triassicus,species,56382,,Procompsognathus triassicus,,species,56382,Alaunian,,215.56,212,26308,8.9764,49.0644
755359,occ,,,48424,Ornithischia ? indet.,unranked clade,91973,,Ornithischia,,unranked clade,38712,Norian,,228,208.5,17273,-101.168892,33.449165
776751,occ,,I,83328,Grallator sp.,genus,64079,,Grallator,,genus,64079,Norian,,228,208.5,27978,-108.541382,35.453732
778203,occ,,IF,57066,Evazoum sp.,genus,131586,,Evazoum,,genus,131586,Rhaetian,Hettangian,208.5,199.3,27985,-111.309723,37.857777
778210,occ,31559,IF,83555,Anchisauripus sillimani,species,67393,recombined as,Eubrontes sillimani,,species,67392,Norian,Rhaetian,228,201.3,27985,-109.539169,38.008888
778223,occ,34816,I,83556,Grallator cursorius,species,64080,,Grallator cursorius,,species,64080,Norian,Rhaetian,228,201.3,27985,-110.443901,38.19186
778596,occ,,IF,52168,Evazoum sirigui,species,131587,,Evazoum sirigui,,species,131587,Norian,,228,208.5,27985,-103.639397,34.976601
778600,occ,,I,52168,Grallator cursorius,species,64080,,Grallator cursorius,,species,64080,Norian,,228,208.5,27985,-103.639397,34.976601
778926,occ,,,57071,Ceratosauria indet.,suborder,84515,,Ceratosauria,,suborder,90100,Norian,,228,208.5,28078,-104.150558,34.979168
778927,occ,,,57071,cf. Coelophysis sp.,genus,38520,,Coelophysis,,genus,38520,Norian,,228,208.5,69995,-104.150558,34.979168
780405,occ,,IF,83958,n. gen. Barrancapus n. sp. cresapi,species,131589,,Barrancapus cresapi,,species,131589,Lacian,,221.5,215.56,28129,-103.488297,35.159779
780406,occ,,IF,52168,Pseudotetrasauropus sp.,genus,77385,,Pseudotetrasauropus,,genus,77385,Norian,,228,208.5,28129,-103.639397,34.976601
780407,occ,20944,IF,83959,Evazoum sirigui,species,131587,,Evazoum sirigui,,species,131587,Norian,,228,208.5,27985,-103.433998,34.945999
780409,occ,20945,I,83959,Grallator cursorius,species,64080,,Grallator cursorius,,species,64080,Norian,,228,208.5,27985,-103.433998,34.945999
780410,occ,20946,I,83960,Grallator cursorius,species,64080,,Grallator cursorius,,species,64080,Norian,,228,208.5,27985,-103.442497,34.951668
780411,occ,20947,IF,83960,Evazoum sirigui,species,131587,,Evazoum sirigui,,species,131587,Norian,,228,208.5,27985,-103.442497,34.951668
780653,occ,22758,,84015,Coelophysoidea indet.,superfamily,55476,,Coelophysoidea,,superfamily,55476,Rhaetian,,208.5,201.3,31658,-111.247223,35.816666
780678,occ,22733,,84017,Theropoda indet.,unranked clade,162964,,Theropoda,,unranked clade,38513,Norian,,228,208.5,28148,-111.116669,35.650002
780686,occ,20940,IF,84021,Eosauropus ? sp.,genus,131584,,Eosauropus,,genus,131584,Norian,,228,208.5,27985,-103.152702,36.937901
780687,occ,20941,IF,84021,Anchisauripus sillimani,species,67393,recombined as,Eubrontes sillimani,,species,67392,Norian,,228,208.5,27985,-103.152702,36.937901
780689,occ,20942,I,84023,Grallator cursorius,species,64080,,Grallator cursorius,,species,64080,Norian,,228,208.5,27985,-103.152702,36.937901
780690,occ,20943,IF,84023,Evazoum sirigui,species,131587,,Evazoum sirigui,,species,131587,Norian,,228,208.5,27985,-103.152702,36.937901
780851,occ,,IF,84061,n. gen. Senqutrisauropus n. sp. priscus,species,133282,,Senqutrisauropus priscus,,species,133282,Carnian,Norian,237,208.5,28154,27.51667,-30.366671
780853,occ,,IF,56029,n. gen. Bosiutrisauropus n. sp. phuthiatsani,species,133300,,Bosiutrisauropus phuthiatsani,,species,133300,Carnian,Norian,237,208.5,28154,27.433331,-29.366671
780854,occ,,IF,56029,Prototrisauropus n. sp. rectilineus,species,133309,recombined as,Grallator rectilineus,,species,133309,Carnian,Norian,237,208.5,28154,27.433331,-29.366671
780855,occ,,,56029,Pseudotetrasauropus n. sp. acutunguis,species,133319,nomen dubium,Prosauropoda,,unranked clade,38634,Carnian,Norian,237,208.5,28154,27.433331,-29.366671
780856,occ,,IF,56029,Pseudotetrasauropus n. sp. augustus,species,133318,subjective synonym of,Pseudotetrasauropus bipedoida,,species,133313,Carnian,Norian,237,208.5,28154,27.433331,-29.366671
780857,occ,,IF,56029,Tetrasauropus n. sp. jaquesi,species,133323,recombined as,Lavinipes jaquesi,,species,133323,Carnian,Norian,237,208.5,28154,27.433331,-29.366671
780928,occ,,IF,56020,n. gen. Mafatrisauropus n. sp. errans,species,133338,,Mafatrisauropus errans,,species,133338,Norian,Rhaetian,228,201.3,28154,27.516701,-30.2167
781137,occ,,I,62767,Grallator sp.,genus,64079,,Grallator,,genus,64079,Rhaetian,,208.5,201.3,28162,-75.839996,40.305832
781138,occ,,I,84111,Atreipus milfordensis,species,68466,subjective synonym of,Grallator tuberosus,,species,67394,Norian,,228,208.5,28162,-75.727936,40.263302
